127.0.0.1 - - [28/Mar/2016:21:12:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:12:28 +0530] "GET /Pizza/ HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:12:29 +0530] "GET /cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:31 +0530] "GET /Pizza/ HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:31 +0530] "GET /cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:33 +0530] "GET /Pizza/ HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/ HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/master.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/ HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/ HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/master.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/fonts/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/fonts/Icon-font-7-stroke/assets/Pe-icon-7-stroke.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/preloader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/slidebars/dist/slidebars.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/slider-pro/dist/css/slider-pro.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/owl-carousel/owl.transitions.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/owl-carousel/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/owl-carousel/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/prettyphoto/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/bootstrap-select/dist/css/bootstrap-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/datetimepicker/jquery.datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/plugins/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/sections.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/blog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/color.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/ HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/ HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/master.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/fonts/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/fonts/Icon-font-7-stroke/assets/Pe-icon-7-stroke.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2016:21:14:34 +0530] "GET /Pizza/assets/css/preloader.css HTTP/1.1" 304 -
